program_name,state,city,zip_codes,incentive_type,property_type,description,eligibility_criteria,incentive_amount,valid_until,updated_at,review_needed,program_links
Hillsborough County Homeowner Repair and Reconstruction Program (HRRP),Florida,,"33510,33511,33527,33534,33547,33548,33549,33550,33556,33558,33559,33563,33565,33566,33567,33569,33570,33572,33573,33578,33579,33584,33592,33594,33596,33598,33602,33603,33604,33605,33606,33607,33609,33610,33611,33612,33613,33614,33615,33616,33617,33618,33619,33620,33621,33624,33625,33626,33629,33634,33635,33637,33647",Grants,"Single-family residential (owner-occupied primary residence). Eligible types: wood-built, detached structures, concrete block, duplex, triplex, quadplex, and mobile/manufactured homes.","Hillsborough County's $211M CDBG-DR program to repair, rebuild, or reimburse storm-damaged single-family homes affected by Hurricanes Helene and/or Milton (2024). Currently accepting applications. Three award pathways: Storm Damage Repair (up to $150K), Reconstruction & Replacement (up to $350K), or Repair Reimbursement (up to $50K, minimum $10K). Residents anywhere in Hillsborough County qualify — including City of Tampa, Temple Terrace, and Plant City.","Home located in Hillsborough County. Applicant is the homeowner (not renter or landlord). Eligible structures only: SFH, duplex, triplex, quadplex, mobile/manufactured. Ineligible: campers, sheds, outbuildings, houseboats, structures with 5+ units. Property must NOT be in a regulatory floodway. Primary residence (lived there before storm and continue to live there). Household income up to 120% of AMI (priority to <=80% AMI). AMI thresholds by household size: 1=$58,450/$87,600; 2=$66,800/$100,080; 3=$75,150/$112,680; 4=$83,450/$125,160; 5=$90,150/$135,240; 6=$96,850/$145,200; 7=$103,500/$155,280; 8+=$110,200/$165,240.","Storm Damage Repair: up to $150,000 or 50% of pre-storm value; Reconstruction & Replacement: up to $350,000; Repair Reimbursement: $10,000-$50,000 for verified completed repairs",,2026-05-20,No,https://rebuildingfortomorrow.hcfl.gov/H/SFH/?id=cf6516e0-9f24-f111-8341-7ced8d6f4b5b
Hillsborough County Multi-Family Housing Program (CDBG-DR),Florida,,"33510,33511,33527,33534,33547,33548,33549,33550,33556,33558,33559,33563,33565,33566,33567,33569,33570,33572,33573,33578,33579,33584,33592,33594,33596,33598,33602,33603,33604,33605,33606,33607,33609,33610,33611,33612,33613,33614,33615,33616,33617,33618,33619,33620,33621,33624,33625,33626,33629,33634,33635,33637,33647",Grants,Multi-family rental housing (5+ units),"$60M Hillsborough County CDBG-DR allocation for affordable multi-family rehabilitation and development post-Hurricanes Helene/Milton. Awarded through a competitive Notice of Funding Availability (NOFA) expected to open June 2026. Funds gap financing for multi-family rehab, demolition + reconstruction, and new affordable multi-family development. [STATUS: Applications open June 2026]","Eligible applicants: Community Housing Development Organizations (CHDO), Community-Based Development Organizations (CBDO), Public Housing Authorities (PHA), Units of General Local Government (UGLG), Not-for-Profit Organizations (NPO) or For-Profit Entities, and private multi-family property owners.",Up to $60M total program; per-project award via competitive NOFA,,2026-05-20,No,https://rebuildingfortomorrow.hcfl.gov/H/MFH?id=3ea96bfe-9f24-f111-8341-7ced8d6f4b5b
Hillsborough County Special Population Housing Program (CDBG-DR),Florida,,"33510,33511,33527,33534,33547,33548,33549,33550,33556,33558,33559,33563,33565,33566,33567,33569,33570,33572,33573,33578,33579,33584,33592,33594,33596,33598,33602,33603,33604,33605,33606,33607,33609,33610,33611,33612,33613,33614,33615,33616,33617,33618,33619,33620,33621,33624,33625,33626,33629,33634,33635,33637,33647",Grants,"Multi-family housing serving special populations (supportive housing, care facilities)","$20M Hillsborough County CDBG-DR allocation for acquisition, new construction, and rehabilitation of housing serving special populations — seniors, people with disabilities, medically fragile individuals, and those experiencing homelessness. Awarded via competitive NOFA expected to open June 2026. Projects must include a qualified nonprofit partner providing supportive services. [STATUS: Applications open June 2026]",Eligible applicants: for-profit developers and nonprofit housing developers. Projects must include a qualified nonprofit organization with demonstrated experience serving vulnerable populations. Documented joint-venture and executed service partnership agreement required.,Up to $20M total program; per-project award via competitive NOFA,,2026-05-20,No,https://rebuildingfortomorrow.hcfl.gov/H/SPH?id=41b30fea-4b29-f111-8341-7ced8d6f4b5b
Hillsborough CDBG-DR Infrastructure: Culvert Renewal and Replacement Program,Florida,,"33510,33511,33527,33534,33547,33548,33549,33550,33556,33558,33559,33563,33565,33566,33567,33569,33570,33572,33573,33578,33579,33584,33592,33594,33596,33598,33602,33603,33604,33605,33606,33607,33609,33610,33611,33612,33613,33614,33615,33616,33617,33618,33619,33620,33621,33624,33625,33626,33629,33634,33635,33637,33647",Investments,Public infrastructure (community-wide benefit),"Approved Hillsborough County CDBG-DR infrastructure investment funded by the post-Hurricane Helene/Milton $211M+ Rebuilding for Tomorrow program. Total Board of County Commissioners–approved amount: $30,434,000. Reduces future flood risk and protects residential and business areas.","Community-wide benefit; residents of affected service areas receive indirect benefit via reduced flooding, improved drainage, or restored utilities. No direct homeowner application.","$30,434,000",,2026-05-20,No,https://rebuildingfortomorrow.hcfl.gov/projectdetails/?id=a8971c4f-5233-f111-88b4-00224802b826&type=Draft
Hillsborough CDBG-DR Infrastructure: Mitigation of Coastal High-Water Hazard Events by Acquisition and Restoration of Natural Lands,Florida,,"33510,33511,33527,33534,33547,33548,33549,33550,33556,33558,33559,33563,33565,33566,33567,33569,33570,33572,33573,33578,33579,33584,33592,33594,33596,33598,33602,33603,33604,33605,33606,33607,33609,33610,33611,33612,33613,33614,33615,33616,33617,33618,33619,33620,33621,33624,33625,33626,33629,33634,33635,33637,33647",Investments,Public infrastructure (community-wide benefit),"Approved Hillsborough County CDBG-DR infrastructure investment funded by the post-Hurricane Helene/Milton $211M+ Rebuilding for Tomorrow program. Total Board of County Commissioners–approved amount: $10,000,000. Reduces future flood risk and protects residential and business areas.","Community-wide benefit; residents of affected service areas receive indirect benefit via reduced flooding, improved drainage, or restored utilities. No direct homeowner application.","$10,000,000",,2026-05-20,No,https://rebuildingfortomorrow.hcfl.gov/projectdetails/?id=5bb3aad3-1938-f111-88b4-00224802bbd5&type=Draft
Hillsborough CDBG-DR Infrastructure: Canal Street Drainage Improvements,Florida,,"33510,33511,33527,33534,33547,33548,33549,33550,33556,33558,33559,33563,33565,33566,33567,33569,33570,33572,33573,33578,33579,33584,33592,33594,33596,33598,33602,33603,33604,33605,33606,33607,33609,33610,33611,33612,33613,33614,33615,33616,33617,33618,33619,33620,33621,33624,33625,33626,33629,33634,33635,33637,33647",Investments,Public infrastructure (community-wide benefit),"Approved Hillsborough County CDBG-DR infrastructure investment funded by the post-Hurricane Helene/Milton $211M+ Rebuilding for Tomorrow program. Total Board of County Commissioners–approved amount: $300,000. Reduces future flood risk and protects residential and business areas.","Community-wide benefit; residents of affected service areas receive indirect benefit via reduced flooding, improved drainage, or restored utilities. No direct homeowner application.","$300,000",,2026-05-20,No,https://rebuildingfortomorrow.hcfl.gov/projectdetails/?id=324438a4-831c-f111-8341-00224802b2c6&type=Draft
Hillsborough CDBG-DR Infrastructure: Stormwater Pump Station Resiliency Improvements,Florida,,"33510,33511,33527,33534,33547,33548,33549,33550,33556,33558,33559,33563,33565,33566,33567,33569,33570,33572,33573,33578,33579,33584,33592,33594,33596,33598,33602,33603,33604,33605,33606,33607,33609,33610,33611,33612,33613,33614,33615,33616,33617,33618,33619,33620,33621,33624,33625,33626,33629,33634,33635,33637,33647",Investments,Public infrastructure (community-wide benefit),"Approved Hillsborough County CDBG-DR infrastructure investment funded by the post-Hurricane Helene/Milton $211M+ Rebuilding for Tomorrow program. Total Board of County Commissioners–approved amount: $6,311,000. Reduces future flood risk and protects residential and business areas.","Community-wide benefit; residents of affected service areas receive indirect benefit via reduced flooding, improved drainage, or restored utilities. No direct homeowner application.","$6,311,000",,2026-05-20,No,https://rebuildingfortomorrow.hcfl.gov/projectdetails/?id=abbf4d25-2f3f-f111-88b4-00224802b362&type=Draft
Hillsborough CDBG-DR Infrastructure: Stacy R. White Nature Preserve Hydrologic Stream Restoration,Florida,,"33510,33511,33527,33534,33547,33548,33549,33550,33556,33558,33559,33563,33565,33566,33567,33569,33570,33572,33573,33578,33579,33584,33592,33594,33596,33598,33602,33603,33604,33605,33606,33607,33609,33610,33611,33612,33613,33614,33615,33616,33617,33618,33619,33620,33621,33624,33625,33626,33629,33634,33635,33637,33647",Investments,Public infrastructure (community-wide benefit),"Approved Hillsborough County CDBG-DR infrastructure investment funded by the post-Hurricane Helene/Milton $211M+ Rebuilding for Tomorrow program. Total Board of County Commissioners–approved amount: $5,983,505. Reduces future flood risk and protects residential and business areas.","Community-wide benefit; residents of affected service areas receive indirect benefit via reduced flooding, improved drainage, or restored utilities. No direct homeowner application.","$5,983,505",,2026-05-20,No,https://rebuildingfortomorrow.hcfl.gov/projectdetails/?id=c1911f79-1938-f111-88b4-00224802bbd5&type=Draft
Hillsborough CDBG-DR Infrastructure: North Forest Hills Drainage Improvements,Florida,,"33510,33511,33527,33534,33547,33548,33549,33550,33556,33558,33559,33563,33565,33566,33567,33569,33570,33572,33573,33578,33579,33584,33592,33594,33596,33598,33602,33603,33604,33605,33606,33607,33609,33610,33611,33612,33613,33614,33615,33616,33617,33618,33619,33620,33621,33624,33625,33626,33629,33634,33635,33637,33647",Investments,Public infrastructure (community-wide benefit),"Approved Hillsborough County CDBG-DR infrastructure investment funded by the post-Hurricane Helene/Milton $211M+ Rebuilding for Tomorrow program. Total Board of County Commissioners–approved amount: $180,227. Reduces future flood risk and protects residential and business areas.","Community-wide benefit; residents of affected service areas receive indirect benefit via reduced flooding, improved drainage, or restored utilities. No direct homeowner application.","$180,227",,2026-05-20,No,https://rebuildingfortomorrow.hcfl.gov/projectdetails/?id=1bdf3aa6-f31b-f111-8341-00224802be8c&type=Draft
Hillsborough CDBG-DR Infrastructure: Power Outage Emergency Beacon (POEB) Projects,Florida,,"33510,33511,33527,33534,33547,33548,33549,33550,33556,33558,33559,33563,33565,33566,33567,33569,33570,33572,33573,33578,33579,33584,33592,33594,33596,33598,33602,33603,33604,33605,33606,33607,33609,33610,33611,33612,33613,33614,33615,33616,33617,33618,33619,33620,33621,33624,33625,33626,33629,33634,33635,33637,33647",Investments,Public infrastructure (community-wide benefit),"Approved Hillsborough County CDBG-DR infrastructure investment funded by the post-Hurricane Helene/Milton $211M+ Rebuilding for Tomorrow program. Total Board of County Commissioners–approved amount: $2,482,000. Reduces future flood risk and protects residential and business areas.","Community-wide benefit; residents of affected service areas receive indirect benefit via reduced flooding, improved drainage, or restored utilities. No direct homeowner application.","$2,482,000",,2026-05-20,No,https://rebuildingfortomorrow.hcfl.gov/projectdetails/?id=2f72e85e-2f3f-f111-88b4-00224802b362&type=Draft
Hillsborough CDBG-DR Infrastructure: Ruskin Low-Pressure Sewer System Conversion,Florida,,"33510,33511,33527,33534,33547,33548,33549,33550,33556,33558,33559,33563,33565,33566,33567,33569,33570,33572,33573,33578,33579,33584,33592,33594,33596,33598,33602,33603,33604,33605,33606,33607,33609,33610,33611,33612,33613,33614,33615,33616,33617,33618,33619,33620,33621,33624,33625,33626,33629,33634,33635,33637,33647",Investments,Public infrastructure (community-wide benefit),"Approved Hillsborough County CDBG-DR infrastructure investment funded by the post-Hurricane Helene/Milton $211M+ Rebuilding for Tomorrow program. Total Board of County Commissioners–approved amount: $30,000,000. Reduces future flood risk and protects residential and business areas.","Community-wide benefit; residents of affected service areas receive indirect benefit via reduced flooding, improved drainage, or restored utilities. No direct homeowner application.","$30,000,000",,2026-05-20,No,https://rebuildingfortomorrow.hcfl.gov/projectdetails/?id=b881b17c-1f38-f111-88b4-00224802bbd5&type=Draft
