program_name,state,city,zip_codes,incentive_type,property_type,description,eligibility_criteria,incentive_amount,valid_until,updated_at,review_needed,program_links
Federal Residential Clean Energy Credit (25D),Florida,,,Tax Credits,"Single-family residential, primary residence or second home","30% federal tax credit on the cost of new, qualified clean energy property: solar electric (PV), solar water heating, fuel cells, small wind, geothermal heat pumps, and battery storage (3+ kWh). No annual or lifetime cap. Excess credit carries forward.",Must be installed at a residence in the U.S. that the taxpayer uses as a home. Original installation only (not used equipment). Filed with IRS Form 5695. No income limit.,"30% of qualified expenditures, no cap",2032-12-31,2026-05-20,No,https://www.irs.gov/credits-deductions/residential-clean-energy-credit
Federal Energy Efficient Home Improvement Credit (25C),Florida,,,Tax Credits,"Existing primary residence (single-family, condo, manufactured)","30% federal tax credit for qualified energy-efficiency upgrades to an existing primary home: heat pumps, heat pump water heaters, biomass stoves, electrical panel upgrades, insulation, windows, doors, and home energy audits. Annual cap of $1,200 for most items, with a separate $2,000 cap for heat pumps/heat pump water heaters/biomass — total up to $3,200 per year.",Must be installed in an existing home in the U.S. that is the taxpayer's primary residence. New construction does not qualify. Filed with IRS Form 5695. No income limit.,"30% of cost, up to $3,200/year (item caps apply)",2032-12-31,2026-05-20,No,https://www.irs.gov/credits-deductions/energy-efficient-home-improvement-credit
High-Efficiency Electric Home Rebate Act (HEEHRA / HEAR),Florida,,,Rebates,Owner-occupied single-family or qualifying multifamily,"Point-of-sale rebates for low- and moderate-income households installing electric appliances and home upgrades — heat pumps, heat pump water heaters, electric stoves, electric panel upgrades, wiring, and insulation. Administered by states; Florida program rollout is in progress.",Households at or below 150% of Area Median Income (AMI). Up to 100% of cost covered for households below 80% AMI; up to 50% for 80-150% AMI.,"Up to $14,000 per household, including $8,000 for heat pump, $1,750 for heat pump water heater, $840 for electric stove, $2,500 for wiring, $4,000 for panel upgrade",2031-09-30,2026-05-20,No,https://www.energy.gov/scep/home-energy-rebates-programs
HOMES Rebate Program,Florida,,,Rebates,Single-family or multifamily residential,Whole-home efficiency rebates based on modeled or measured energy savings. Administered by states; Florida program rollout in progress. Stackable with 25C tax credit in many cases.,"Available to all income levels, but rebate amount doubles for households below 80% AMI. Must achieve at least 20% modeled energy savings to qualify.","Up to $4,000 per household (or $8,000 for low-income); higher caps for multifamily on a per-unit basis",2031-09-30,2026-05-20,No,https://www.energy.gov/scep/home-energy-rebates-programs
Federal EV Charger Tax Credit (30C),Florida,,,Tax Credits,Residential property in eligible census tract,"30% federal tax credit (up to $1,000 for residential, $100,000 for commercial) for installing a qualified EV charger. Property must be located in an eligible non-urban or low-income census tract.",Property must be in a low-income community or non-urban census tract (per IRS Notice 2024-20). Filed with IRS Form 8911.,"30% of cost, up to $1,000 (residential)",2032-12-31,2026-05-20,No,https://www.irs.gov/credits-deductions/alternative-fuel-vehicle-refueling-property-credit
TECO Heating & Cooling Rebate,Florida,Tampa,"33510,33511,33527,33534,33547,33548,33549,33550,33556,33558,33559,33563,33565,33566,33567,33569,33570,33572,33573,33578,33579,33584,33592,33594,33596,33598,33602,33603,33604,33605,33606,33607,33609,33610,33611,33612,33613,33614,33615,33616,33617,33618,33619,33620,33621,33624,33625,33626,33629,33634,33635,33637,33647",Rebates,"Residential (single-family, owner-occupied)","Rebate when you replace an old, inefficient ducted air conditioning system with a new high-efficiency system meeting TECO's SEER/SEER2 requirements. Available to all residential Tampa Electric customers.",Must be a Tampa Electric residential customer. Minimum SEER 16.00 / SEER2 15.20 for straight cool with natural gas heat; minimum SEER 17.00 / SEER2 16.20 for the higher tier. Geothermal eligible at min EER 14.0. Application within 90 days of installation.,Varies by SEER tier and number of condensing units; up to several hundred dollars per system,,2026-05-20,No,https://www.tampaelectric.com/residential/saveenergy/heatingcooling/
TECO ENERGY STAR Smart Thermostat Rebate,Florida,Tampa,"33510,33511,33527,33534,33547,33548,33549,33550,33556,33558,33559,33563,33565,33566,33567,33569,33570,33572,33573,33578,33579,33584,33592,33594,33596,33598,33602,33603,33604,33605,33606,33607,33609,33610,33611,33612,33613,33614,33615,33616,33617,33618,33619,33620,33621,33624,33625,33626,33629,33634,33635,33637,33647",Rebates,Residential,Rebate for installing a qualifying ENERGY STAR-certified smart thermostat in a Tampa Electric-served home.,Tampa Electric residential customer. Thermostat must be ENERGY STAR certified.,Up to $50 per thermostat,,2026-05-20,No,https://www.tampaelectric.com/residential/saveenergy/smartthermostat/
TECO ENERGY STAR Pool Pump Rebate,Florida,Tampa,"33510,33511,33527,33534,33547,33548,33549,33550,33556,33558,33559,33563,33565,33566,33567,33569,33570,33572,33573,33578,33579,33584,33592,33594,33596,33598,33602,33603,33604,33605,33606,33607,33609,33610,33611,33612,33613,33614,33615,33616,33617,33618,33619,33620,33621,33624,33625,33626,33629,33634,33635,33637,33647",Rebates,Residential with pool,Rebate for replacing a single-speed pool pump with a high-efficiency variable-speed ENERGY STAR pool pump.,Tampa Electric residential customer. Variable-speed ENERGY STAR pump required.,Up to $350 per pump,,2026-05-20,No,https://www.tampaelectric.com/residential/saveenergy/poolpump/
TECO Prime Time Plus (Demand Response),Florida,Tampa,"33510,33511,33527,33534,33547,33548,33549,33550,33556,33558,33559,33563,33565,33566,33567,33569,33570,33572,33573,33578,33579,33584,33592,33594,33596,33598,33602,33603,33604,33605,33606,33607,33609,33610,33611,33612,33613,33614,33615,33616,33617,33618,33619,33620,33621,33624,33625,33626,33629,33634,33635,33637,33647",Rebates,Residential,"Demand-response load-management program. TECO uses smart meters to control your air handler, water heater, and/or pool pump during peak energy-use periods in exchange for monthly bill credits. Includes a free programmable thermostat.",Tampa Electric residential customer with smart meter installed; must enroll voluntarily.,Up to $12/month bill credit,,2026-05-20,No,https://www.tampaelectric.com/residential/saveenergy/primetimeplus/
Peoples Gas Natural Gas Appliance Rebate (TECO sister utility),Florida,Tampa,"33510,33511,33527,33534,33547,33548,33549,33550,33556,33558,33559,33563,33565,33566,33567,33569,33570,33572,33573,33578,33579,33584,33592,33594,33596,33598,33602,33603,33604,33605,33606,33607,33609,33610,33611,33612,33613,33614,33615,33616,33617,33618,33619,33620,33621,33624,33625,33626,33629,33634,33635,33637,33647",Rebates,Residential,"Rebate for installing qualifying natural gas appliances — water heaters, furnaces, ranges, dryers — under FPSC-approved rates. Larger rebate when replacing electric appliances with natural gas.",Peoples Gas residential customer in service territory (overlaps Tampa Electric).,Tank water heater: $500 (replace electric) / $350 (replace gas); Tankless: $675 / $550; Central heating: up to $725,,2026-05-20,No,https://www.peoplesgas.com/residential/save/
